key,en,vn
login.logout_btn,Logout,Đăng xuất
login.notPermission,Sorry. you don't have permission to access this page.,Xin lỗi. Bạn không có quyền truy cập trang này.
message.success,Successful,Thành công
message.fail,Failure,Không thành công
message.loading,Loading,Đang tải
error.error404,The page you are trying to access does not exist,Trang bạn truy cập không tồn tại
error.not_found,Oops! Page not found,Rất tiếc! Không tìm thấy trang
sidebar.report,Report,Báo cáo
sidebar.players,Players,Danh sách người dùng
sidebar.stores,Stores,Danh sách cửa hàng
sidebar.campaigns,Campaigns,Danh sách chiến dịch
sidebar.games,Games,Danh sách game
sidebar.gifts,Gifts,Danh sách quà
sidebar.settings,Settings,Cài Đặt
sidebar.admins,Admins,Quản lý đăng nhập
report.event_start,Event start,Chiến dịch đang hoạt động
report.start_day,Start day,Ngày bắt đầu
report.end_day,End day,Ngày kết thúc
sidebar.setting_event,Campaign setting,Cài đặt chiến dịch
setting.location,Location,Quà theo khu vực
setting.period,Period,Thưởng theo tuần
setting.combo,Combo,Combo cho chương trình
setting.area,Area,Khu vực
setting.percent,Percent,Phần trăm
setting.note,Note,Chú ý
setting.note_desc,The total percentage of the regions must be less than or equal to 100%.,Tổng phần trăm của các vùng phải nhỏ hơn hoặc bằng
button.cancel,Cancel,Huỷ
button.save,Save,Lưu
game.required_game,Please input Game!,Vui lòng nhập Game!
game.required_url_game,Please input Url Game!,Vui lòng nhập Url Game!
game.description,Description,Mô tả
game.code_game,Code Game,Mã Game
game.required_code_game,Please enter Game code!,Vui lòng nhập mã Game!
game.status,Status,Trạng thái
game.edit_game,Game editing,Chỉnh sửa game
game.create_game,Add new game,Thêm mới game
game.update_successful,Update successful!,Cập nhật thành công!
game.create_success,Create success,Thêm thành công!
game.prioritize,Prioritize,Ưu tiên
game.date_created,Create at,Ngày tạo
game.action,Action,Hành động
game.active,Active,Đang hoạt động
game.stopped,Stopped,Đã ngừng
game.delete_game,Delete Game,Xoá Game
game.sure_delete_game,Are you sure you want to delete,Bạn có chắc chắn muốn xoá
game.confirm,Confirm,Xác Nhận
game.table_empty,No data!,Không có dữ liệu!
game.name_game,Game name,Tên game
game.add_new_game,Add new Game,Thêm mới Game
campaign.name_capaign,Campaign,Chiến dịch
campaign.start_day,Start date,Ngày bắt đầu
campaign.end_date,End date,Ngày kết thúc
campaign.campaign_updates,Campaign updates,Cập nhật chiến dịch
campaign.delete_campaign,Delete campaign,Xoá chiến dịch
campaign.success,Success,Thành công
campaign.running,Running,Đang chạy
campaign.dont_run,Don't run,Không chạy
campaign.add_a_campaign,Add a campaign,Thêm chiến dịch
